Date,BMY,CL,CVX,DUK,ED,EPD,GIS,GLD,GPC,IWP,IWY,JNJ,KMB,KO,LMT,MCD,O,PEP,PG,PSA,QQQ,QUAL,RPG,SCHG,SCHM,VBK,VGT,VUG,VZ,WEC,XOM
2010-07-16,24423804356.889725,25461699000.457764,70921521042.93823,17564730842.777252,7158083307.113647,13736463544.607162,12298268955.551147,,4107837984.104157,,,103954853243.94226,12489561410.339355,70298515772.53342,13980208688.926697,41958432000.54169,3501517071.533203,56730148250.00763,106029842397.19391,8837190154.99878,,,,,,,,,48594901795.778275,4934226457.0884695,132162252571.44928
2010-07-19,24103598625.11635,25547780164.237976,71417474882.04958,17877081195.903778,7254987074.752808,13835287154.078484,12246362503.341675,,4063173962.2573853,,,104182198217.16309,12602263137.86316,70164285433.1398,14002904377.155304,41940434771.00372,3531141265.86914,56366808268.35632,105807552782.21129,8923262183.105469,,,,,,,,,48649518099.460594,5020101936.6874695,133233930444.7937
2010-07-20,24278246461.687088,25812139561.626434,72508573328.09448,17845846160.59112,7280402476.242065,14018294511.318207,12235980528.900146,,4112588435.688019,,,102450781374.58801,12769302357.582092,71466341292.36221,13974537404.403687,42516367132.83539,3560767602.5390625,58801323414.23035,106166688695.48798,9135051713.256836,,,,,,,,,48558511621.99974,5071443758.651733,134419732495.34607
2010-07-21,24016255614.767075,25523188234.32541,71586097751.46484,17595961939.411163,7191444656.494141,14076853958.129883,12121792490.03601,,4035619905.2829742,,,99897390912.55188,12549936247.810364,72593927572.5174,13929156578.083038,42060411630.89752,3495818225.0976562,58092777383.23212,105342705023.46039,8987092585.113525,,,,,,,,,48285383539.06632,4984633187.553406,132641092940.94086
2010-07-22,24190914588.375088,25544849661.563873,72845840605.16357,17804201197.36481,7310589137.313843,14164695997.595787,12235980528.900146,,4052723831.445694,,,99722493925.39978,12670688692.176819,72835537206.40182,14040726616.744995,42834317020.41626,3630274676.513672,58328946426.20087,105790885471.80176,9291716728.546143,,,,,,,,,49159322005.519875,5087313820.884705,135400169784.24072
2010-07-23,23919218608.970642,25823279919.719696,72925180296.47827,17637602963.95874,7355067208.358765,14175677567.601204,12291350299.255371,,4095485084.640503,,,100789323326.87378,12807542570.228577,73493275823.4787,13983992671.24176,41934431024.13177,3658761053.466797,58546975979.42352,106721753720.35982,9347809591.705322,,,,,,,,,51016462588.806145,5136784556.671143,136175401115.03601
2010-07-26,24229739891.328815,25906801812.04605,74016285921.93604,17804201197.36481,7415431582.992554,14084181062.102318,12263668834.07593,,4142043823.5263824,,,100981688902.66418,12906152081.497192,73748331717.41486,14159864620.037079,42516367132.83539,3741940740.966797,59028439384.651184,107773278351.7456,9543162301.239014,,,,,,,,,51489829756.565094,5157320442.489624,137703218389.20593
2010-07-27,24569355888.071056,26169768664.67285,74690770220.18433,18074905274.3721,7491685057.312013,13736463544.607162,12419383630.706787,,4094531256.0749054,,,101611254726.18103,13063129982.23114,73895983431.7398,14157964423.217773,42234394190.48309,3737382806.396485,59673386052.70386,108738622817.72612,9552835215.60669,,,,,,,,,52054261607.43713,5197457724.746704,138660899128.1891
2010-07-28,24375285058.48885,25943930066.29944,74948669088.28735,18022843818.767548,7471033645.553589,13805226995.110512,12263668834.07593,,4081229991.640091,,,101139085636.06262,12962502945.259094,73667753697.58606,14227932928.92456,41856441861.87744,3714593609.61914,59228284988.594055,108083595443.0008,9542193952.941895,,,,,,,,,52636896305.95207,5167591395.996094,138888956918.33496
2010-07-29,24336462937.545776,24168136115.169525,75404949492.03491,17877081195.903778,7397958214.859009,13671410032.272339,11810353776.779175,,4056524480.2703853,,,101139085636.06262,12867918792.411804,73815438592.07153,14173089802.341461,41622481380.65337,3640659283.4472656,58946683859.6344,106308059867.59186,9543162301.239014,,,,,,,,,52582264480.76248,5118117047.492981,137589213314.66675
2010-07-30,24181214228.90663,24434201123.27957,75593416258.54492,17804201197.36481,7326472644.805909,14046838750.720024,11834577623.809814,,4069828045.1660156,,,101593786137.54272,12904141479.354858,73976519976.36795,14210913214.16855,41832447891.00646,3672703125.0,58964856694.03076,105428885188.86566,9489001510.910034,,,,,,,,,52910004987.00142,5066775526.58844,136084263752.89917
2010-08-02,24773127077.121735,24208362524.90616,77170575312.80518,18085313889.392853,7488508691.345215,14020822319.149971,11886478376.022339,,4158198522.0451355,,,102695584381.40869,13107400616.592407,75721580748.806,14352735183.315277,42144411545.562744,3794021356.201172,59291867679.21448,106980335729.17938,9837157732.22351,,,,,,,,,53820345268.363945,5168520466.300964,141237566264.19067
2010-08-03,24918684972.32437,24174317029.44946,78023575711.36475,18085313889.392853,7455143986.64856,14031968392.72976,11758446184.570312,,4162949836.3018036,,,103797414290.39001,13040985664.421082,75681283443.85147,14263860832.881927,42264384902.68707,3734506365.966797,59746094062.61444,103325815169.79218,9803307816.238403,,,,,,,,,53783955094.58542,5144254450.515747,143016166117.7063
2010-08-04,25258305742.0826,24149576264.900208,78380672526.70288,18085313889.392853,7456733288.070679,14169502945.065498,11979915005.996704,,4184805651.8363953,,,104479480875.16785,13149666187.660217,75909496587.92496,14186326707.019806,42408390761.146545,3743664129.638672,60109467388.916016,102653528930.05371,9862296476.760864,,,,,,,,,53529049261.17897,5153587904.045105,143016166117.7063
