Date,BMY,CL,CVX,DUK,ED,EPD,GIS,GLD,GPC,IWP,IWY,JNJ,KMB,KO,LMT,MCD,O,PEP,PG,PSA,QQQ,QUAL,RPG,SCHG,SCHM,SPY,VBK,VGT,VUG,VZ,WEC,XOM
2024-07-31,44.80630874633789,96.36658477783203,150.13180541992188,103.49510192871094,92.69703674316406,26.472253799438477,63.66808319091797,226.5500030517578,141.46986389160156,110.433837890625,208.97909545898438,151.7553253173828,129.0828399658203,64.35012817382812,524.170654296875,257.8465270996094,53.34382247924805,164.9871368408203,155.70654296875,282.0284729003906,467.8838195800781,169.57594299316406,36.61483383178711,24.839757919311523,26.56699562072754,542.5298461914062,259.5844421386719,564.46435546875,365.10626220703125,37.327239990234375,81.74407958984375,112.5531997680664
2024-08-01,45.380985260009766,98.05705261230469,142.78753662109375,106.64910125732422,95.25401306152344,26.197072982788086,64.1706771850586,225.77000427246094,137.9790496826172,108.19490814208984,205.16012573242188,154.55296325683594,132.36129760742188,65.52644348144531,530.8833618164062,261.1011962890625,54.13044357299805,167.1752471923828,160.48158264160156,285.99322509765625,456.5509948730469,167.68057250976562,35.49956130981445,24.40201187133789,26.040237426757812,534.84716796875,252.97091674804688,544.0625610351562,359.1122741699219,37.63123321533203,84.27068328857422,110.99669647216797
2024-08-02,45.94624328613281,99.88352966308594,138.979736328125,107.89934539794922,96.79387664794922,26.12369155883789,65.69741821289062,225.33999633789062,137.0558624267578,105.68729400634766,200.9333953857422,157.80247497558594,133.9097137451172,66.8473892211914,530.7963256835938,268.81524658203125,55.35283660888672,170.11817932128906,164.7335662841797,297.2583312988281,445.71478271484375,165.37060546875,34.244873046875,23.867258071899414,25.33025550842285,524.8890991210938,245.35447692871094,530.7164306640625,351.50799560546875,37.741783142089844,85.63846588134766,110.93025207519531
2024-08-05,44.83456802368164,98.09590911865234,135.34034729003906,105.14315032958984,95.71977233886719,25.573333740234375,64.74913024902344,222.47999572753906,133.04576110839844,103.35883331298828,193.5938262939453,155.02406311035156,131.5679473876953,65.66143798828125,527.517333984375,260.80975341796875,55.222198486328125,166.29615783691406,162.77706909179688,289.4051818847656,432.42529296875,160.55322265625,33.537872314453125,23.039016723632812,24.6922550201416,509.6024169921875,238.80055236816406,512.1431274414062,339.0428771972656,36.663970947265625,83.76726531982422,108.92767333984375
2024-08-06,44.570777893066406,99.73780822753906,134.00247192382812,106.95220184326172,95.90037536621094,26.508943557739258,64.41722869873047,220.6999969482422,134.67091369628906,104.84149169921875,195.62266540527344,152.8320770263672,132.93479919433594,65.61323547363281,523.8223876953125,262.3739318847656,56.397926330566406,164.81517028808594,162.80613708496094,297.963623046875,436.55712890625,162.28076171875,34.21500778198242,23.277788162231445,24.898378372192383,514.30078125,241.2632598876953,517.2310791015625,343.38677978515625,37.08771896362305,84.0332260131836,108.34872436523438
2024-08-07,43.80767822265625,99.51434326171875,133.23529052734375,107.51101684570312,96.18553924560547,26.325490951538086,65.28965759277344,220.5500030517578,131.96865844726562,103.68719482421875,193.9617919921875,152.76478576660156,133.83326721191406,66.008544921875,530.5448608398438,261.70355224609375,56.24863815307617,164.14627075195312,164.6754608154297,295.59051513671875,431.8293151855469,160.9480743408203,33.79677963256836,23.058917999267578,24.72170066833496,510.8631896972656,238.9495391845703,511.2188415527344,340.1363220214844,37.106143951416016,84.48914337158203,109.79134368896484
2024-08-08,44.137413024902344,99.78638458251953,135.1813201904297,106.48809814453125,95.5296630859375,26.903366088867188,65.46983337402344,224.00999450683594,133.1803741455078,107.09037017822266,199.69024658203125,154.0338134765625,135.00889587402344,66.26888275146484,533.552978515625,263.4717102050781,56.1926383972168,164.7004852294922,165.49874877929688,298.46875,445.0393981933594,165.0941925048828,35.07137680053711,23.715539932250977,25.264820098876953,522.6729736328125,245.31475830078125,528.9276733398438,350.344970703125,37.327239990234375,83.40631103515625,111.88883972167969
2024-08-09,44.01493835449219,99.16460418701172,135.64907836914062,106.71542358398438,96.0239486694336,26.33466148376465,65.54570007324219,224.55999755859375,131.9205780029297,107.39884185791016,201.3312225341797,154.41836547851562,134.12001037597656,66.22066497802734,533.5143432617188,260.2851257324219,56.51923751831055,164.7196044921875,165.1791229248047,302.1570739746094,447.3635559082031,166.1011199951172,35.31036376953125,23.887157440185547,25.258275985717773,524.9777221679688,245.05657958984375,532.2965087890625,352.82012939453125,37.53911590576172,83.56781005859375,112.79998016357422
2024-08-12,44.33525466918945,98.39707946777344,135.67715454101562,107.37841796875,96.89844512939453,25.848512649536133,64.76811218261719,228.41000366210938,130.43002319335938,107.04061126708984,202.19644165039062,153.7069549560547,132.1892547607422,65.72893524169922,538.669677734375,261.79095458984375,56.27662658691406,163.79273986816406,161.56634521484375,299.58380126953125,448.32696533203125,166.3775177001953,35.35019302368164,23.966745376586914,25.166664123535156,525.2536010742188,243.63656616210938,535.0590209960938,354.21173095703125,37.33644485473633,84.76460266113281,112.94233703613281
2024-08-13,46.21945571899414,97.72673034667969,134.8632049560547,107.70991516113281,96.57526397705078,25.931066513061523,65.62155151367188,228.05999755859375,131.60324096679688,108.94122314453125,207.04971313476562,152.27447509765625,132.3230743408203,66.008544921875,541.0975341796875,262.6167907714844,56.27662658691406,164.7004852294922,162.03128051757812,301.5947570800781,459.45123291015625,168.85531616210938,36.057193756103516,24.51641845703125,25.51347541809082,533.8916625976562,247.9958953857422,550.5219116210938,362.1043395996094,37.566749572753906,84.95458984375,111.8603744506836
