p,window,step,refit_every,start_date,end_date,duration,cumulative_return,annual_return,annual_volatility,sharpe,max_drawdown
2,480,24,120,2022-04-08,2025-10-30,1301,0.1914732474710381,0.05062221589423066,0.16224013910871063,0.3120202939440944,-0.21275413702067858
2,36,24,96,2022-03-14,2025-10-30,1326,0.19472930847457182,0.05033394768562949,0.1692419772266264,0.2974081756219909,-0.25559353617519265
2,120,24,48,2022-03-18,2025-10-30,1322,0.17751779845144955,0.0463431920639199,0.17121759908755643,0.2706683910467705,-0.26979111287033564
2,480,24,48,2022-04-08,2025-10-30,1301,0.1291370560102505,0.03482803560300507,0.16320363817348912,0.2134023235804467,-0.20019530214551617
2,480,24,96,2022-04-08,2025-10-30,1301,0.12720430806195537,0.034328430497186924,0.16280242397494826,0.21085945564587735,-0.21275413702067858
2,72,24,96,2022-03-16,2025-10-30,1324,0.12896607849452413,0.03412381868361081,0.16917039761250202,0.20171270603604108,-0.30011122035241933
2,72,24,120,2022-03-16,2025-10-30,1324,0.12265063520122843,0.03252035805619147,0.16654599893946898,0.19526352036839364,-0.2847702788054328
2,72,24,24,2022-03-16,2025-10-30,1324,0.12284931441138003,0.03257090102970084,0.17169514217012588,0.18970193692159112,-0.30517843549161483
2,72,24,48,2022-03-16,2025-10-30,1324,0.11256191050537034,0.029945287960955413,0.1716217505749734,0.1744842239438278,-0.30517843549161483
2,480,24,12,2022-04-08,2025-10-30,1301,0.09376654898012204,0.025585909251333305,0.16137518843511398,0.15854921378834474,-0.20019530214551617
2,480,24,24,2022-04-08,2025-10-30,1301,0.09314955096962985,0.025422798653821355,0.16114226075486182,0.15776617837387716,-0.20019530214551617
2,72,24,12,2022-03-16,2025-10-30,1324,0.08971023028811631,0.02404948385133787,0.17194034829584115,0.13987108953599564,-0.30517843549161483
2,72,48,12,2025-01-21,2025-10-30,282,-0.06851890289677498,-0.08679597875768386,0.16154449401674154,-0.5372883754780824,-0.1260221880882585
2,72,48,120,2025-01-21,2025-10-30,282,-0.06851890289677498,-0.08679597875768386,0.16154449401674154,-0.5372883754780824,-0.1260221880882585
2,72,48,96,2025-01-21,2025-10-30,282,-0.06851890289677498,-0.08679597875768386,0.16154449401674154,-0.5372883754780824,-0.1260221880882585
2,72,48,48,2025-01-21,2025-10-30,282,-0.06851890289677498,-0.08679597875768386,0.16154449401674154,-0.5372883754780824,-0.1260221880882585
2,72,48,24,2025-01-21,2025-10-30,282,-0.06851890289677498,-0.08679597875768386,0.16154449401674154,-0.5372883754780824,-0.1260221880882585
2,36,48,120,2025-01-16,2025-10-30,287,-0.14397514063051098,-0.1786933073705984,0.16080748145112814,-1.111225085786236,-0.2109021551771424
2,36,48,12,2025-01-16,2025-10-30,287,-0.14397514063051098,-0.1786933073705984,0.16080748145112814,-1.111225085786236,-0.2109021551771424
2,36,48,48,2025-01-16,2025-10-30,287,-0.14397514063051098,-0.1786933073705984,0.16080748145112814,-1.111225085786236,-0.2109021551771424
2,36,48,96,2025-01-16,2025-10-30,287,-0.14397514063051098,-0.1786933073705984,0.16080748145112814,-1.111225085786236,-0.2109021551771424
2,36,48,24,2025-01-16,2025-10-30,287,-0.14397514063051098,-0.1786933073705984,0.16080748145112814,-1.111225085786236,-0.2109021551771424
2,240,48,96,2025-01-29,2025-10-30,274,-0.1601052303282916,-0.20562705440163154,0.1694536256603078,-1.213470963517996,-0.19305594937989545
2,240,48,120,2025-01-29,2025-10-30,274,-0.1601052303282916,-0.20562705440163154,0.1694536256603078,-1.213470963517996,-0.19305594937989545
2,240,48,12,2025-01-29,2025-10-30,274,-0.1601052303282916,-0.20562705440163154,0.1694536256603078,-1.213470963517996,-0.19305594937989545
2,240,48,24,2025-01-29,2025-10-30,274,-0.1601052303282916,-0.20562705440163154,0.1694536256603078,-1.213470963517996,-0.19305594937989545
2,240,48,48,2025-01-29,2025-10-30,274,-0.1601052303282916,-0.20562705440163154,0.1694536256603078,-1.213470963517996,-0.19305594937989545
2,480,48,24,2025-02-13,2025-10-30,259,-0.15600244872358204,-0.21136206937700197,0.16163022372437252,-1.3076890231707963,-0.17703992678824643
